STATE	MRT	STD. DEV

P_up=N(0.4,0.1)	P_perturb = 0.1
000	6.1	5.014977567247933
001	47.65	15.685901312962542
010	43.23	14.346327056079545
011	270.74	66.47926293213546
100	46.31	14.649023858264414
101	282.81	64.76784618929365
110	268.85	62.894892479437466
111	35.31	10.930411703133602

P_up=N(0.4,0.1)	P_perturb = 0.3
000	26.0	7.4859869088851605
001	84.85	15.993983243707616
010	81.24	16.357946081339186
011	223.67	32.21647249467266
100	77.8	13.169662106523463
101	219.93	33.768107734961994
110	219.25	30.636375438357586
111	68.26	11.167470617825686

P_up=N(0.4,0.1)	P_perturb = 0.5
000	41.55	8.212642692824279
001	96.61	12.46506718794568
010	98.03	13.241189523603989
011	193.21	20.841926494448636
100	97.79	13.110526305225125
101	195.44	22.196540270952138
110	194.66	22.327212096453064
111	83.71	11.058295528696997

P_up=N(0.4,0.1)	P_perturb = 0.7
000	54.43	10.312376059861277
001	107.19	14.244785010662673
010	105.72	12.095519831739354
011	178.4	15.784169284444461
100	107.11	11.441936024991575
101	180.56	16.169922696166484
110	177.28	18.720619647864225
111	90.31	8.789419776071684

P_up=N(0.4,0.1)	P_perturb = 0.9
000	63.25	8.536246247619617
001	109.98	11.055297372753028
010	112.8	10.310189135025603
011	171.01	13.525158039742086
100	110.4	11.62067123706716
101	168.42	12.789980453464345
110	168.47	14.786111726887498
111	96.67	9.719110041562448
